task,budget,n,aubc_full_mean,aubc_full_std,aubc_orig_mean,aubc_orig_std,aubc_delta_mean,aubc_delta_std,aubc_pct_delta,aubc_paired_pct_mean,aubc_win_seeds,aubc_p,aubc_full_median,aubc_orig_median,hv_final_full_mean,hv_final_full_std,hv_final_orig_mean,hv_final_orig_std,hv_final_delta_mean,hv_final_delta_std,hv_final_pct_delta,hv_final_paired_pct_mean,hv_final_win_seeds,hv_final_p,hv_final_full_median,hv_final_orig_median
bi_tsp,25,5,12750.803311842814,380.39210874516306,9841.931473058481,2014.447470685336,2908.871838784332,2064.909711391396,29.5559042119643,34.91979459547423,5,0.0625,12636.45248828009,10248.946206588858,14764.542273114119,486.4756503198378,14750.83023495063,622.6287551591524,13.712038163490798,360.4333430567795,0.09295773827699971,0.1433651430568615,3,0.8125,15043.395819381061,14704.650847993646
bi_tsp,50,5,12890.581194315117,198.51981149705483,11807.552832209509,1027.4450481708864,1083.028362105611,975.5911981290784,9.172335516901043,9.823651653769534,5,0.0625,12846.873159044133,12329.684131794202,14558.456467250426,236.01391731965103,14911.440973810697,266.0743636538292,-352.98450656026944,138.45595289757327,-2.3672058735317747,-2.3615615245814974,0,0.0625,14492.49330351833,15042.920863118195
bi_tsp,100,5,13748.096663571898,242.25605019952928,12956.306839842171,488.2880765600167,791.7898237297246,246.77685945693509,6.111230874024076,6.1770765523334354,5,0.0625,13819.887443848946,13107.871373536815,15061.271043936717,70.18103293987683,15096.618843602013,89.22998930891276,-35.34779966529786,102.68017893116559,-0.23414381744344404,-0.23175688812967993,2,0.4375,15087.354409789317,15093.281807396492
bi_tsp,200,5,14471.783017027632,187.13742143315375,13462.571498930798,678.3943278513354,1009.2115180968336,742.5574677351386,7.496424573692972,7.733396254149038,5,0.0625,14410.706238604653,13568.053931413244,15174.886469447758,174.5129163590588,15016.311139088284,262.7024707961138,158.575330359476,360.005316072519,1.056020542533198,1.086655389947247,3,0.4375,15255.43628569975,15124.715363391148
tri_tsp,25,5,144482.85132110692,10824.205593913814,87564.6536917624,34752.667878287124,56918.19762934449,34768.291894818205,65.00133927292522,93.16212798371875,5,0.0625,144905.63740059652,98954.6115682449,206382.30678867493,1195.81678125212,206676.6266863874,785.8609026020088,-294.3198977124528,1259.6883764772356,-0.14240599066824844,-0.14168390551025692,3,1.0,207008.0534294236,206437.2437747052
tri_tsp,50,5,159646.02359464797,15244.744744852931,137434.62173016855,16143.730822279967,22211.4018644794,27969.897888531752,16.161431220793876,18.194211289329015,4,0.125,151573.30416811164,136857.17871286935,207330.75731613225,665.2983503309486,206978.34105713345,420.00749521982556,352.4162589988089,1022.6521019348352,0.1702672159796359,0.17099627183569818,3,0.625,207301.04145665313,206915.3200820956
tri_tsp,100,5,184626.4798816275,6767.002300027244,152646.74125501543,19390.622488398243,31979.73862661208,24121.282936204832,20.950161375005006,23.023346590315583,5,0.0625,186362.56002084582,162288.87889966377,206978.00380559993,761.6185272882088,207362.14294651497,561.1101880333055,-384.13914091502664,660.6932635354354,-0.18525037186470916,-0.18509112832383776,2,0.3125,207069.51113427317,207512.57364611502
tri_tsp,200,5,195125.27178561568,2228.146219051774,165126.1997109829,3139.721523175477,29999.07207463278,3413.945379031287,18.16736055643475,18.196593377399818,5,0.0625,195367.08037540573,165365.1598219482,207247.7824727983,561.6985469763074,207182.2764044278,443.98862539873784,65.50606837052037,772.4914206321022,0.0316176023873016,0.03206284508947438,3,1.0,207133.3326709571,207098.27103876998
bi_cvrp,25,5,11679.829269406231,1010.7411552010833,7322.6997910389455,3009.5395090233865,4357.129478367286,3461.765047536443,59.50168111082832,92.82309156304588,5,0.0625,11837.482081248581,9200.331825616564,16264.426902738316,2121.3491201430606,14386.82140386351,5496.103660591526,1877.605498874806,6604.364268349294,13.050870975367657,52.07721686069539,1,0.625,17226.189748947494,16161.197378773408
bi_cvrp,50,5,13318.344835045384,1845.2379367208514,7486.240679123577,2639.583332482992,5832.1041559218065,2039.7351015330767,77.90431013239314,98.85135335354649,5,0.0625,12902.425877482603,8403.552685705881,17393.589249027504,2422.5450920522558,16246.931831633952,2880.3469446310096,1146.6574173935521,1831.5968747609338,7.057685902029376,8.25793864451963,3,0.3125,17201.149856801538,17412.840596054517
