ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
full,bi_cvrp,100,2025,15742.47073773215,17018.887284034758,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2025/20260524_152014_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2026,16156.153730915752,17852.103570072653,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2026/20260524_154718_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2027,14538.579103894812,17516.360366138328,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2027/20260524_162107_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2028,15929.629210145245,19426.377085542983,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2028/20260524_165338_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2029,12932.179381168231,14211.186133151905,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2029/20260524_172752_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2025,16037.488696074293,17819.43188452699,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2025/20260524_185649_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2026,14931.676144467012,16777.164207266305,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2026/20260524_200556_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2027,16397.998799533445,17537.966630517058,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2027/20260524_211313_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2028,19713.14564926189,21842.82066400209,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2028/20260524_222033_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2029,14780.43510180324,16843.80068581566,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2029/20260524_234719_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2025,11657.292376218604,14216.210214900735,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2025/20260524_125349_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2026,12494.065548810886,18373.625807074834,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2026/20260524_130155_BICVRPEvaluation_BMAB-full
