method,task,metric,best_cells,top2_cells,mean_rank,mean_normalized_score
full,bi_tsp,aubc,1,4,1.75,98.59669236653852
full,bi_tsp,hv_final,0,1,3.0,99.57806278884024
full,bi_tsp,valid_yield_per_100_calls,1,1,2.75,90.97131019387118
full,bi_tsp,invalid_null_proxy_rate,0,1,3.5,6.2178138082780325
full,tri_tsp,aubc,0,1,3.0,95.54902394261407
full,tri_tsp,hv_final,3,4,1.25,99.95967098920211
full,tri_tsp,valid_yield_per_100_calls,2,2,1.875,94.52020202020202
full,tri_tsp,invalid_null_proxy_rate,0,2,3.0,3.2078168442942054
full,bi_cvrp,aubc,2,2,2.5,96.37530802209787
full,bi_cvrp,hv_final,2,4,1.5,99.19439757676373
full,bi_cvrp,valid_yield_per_100_calls,0,1,3.0,86.6955756661639
full,bi_cvrp,invalid_null_proxy_rate,0,1,3.75,2.262366686924042
full,bi_kp,aubc,2,3,2.25,92.01292991331196
full,bi_kp,hv_final,1,2,2.5,91.67845400958254
full,bi_kp,valid_yield_per_100_calls,0,0,4.125,88.05798368298369
full,bi_kp,invalid_null_proxy_rate,0,0,4.75,0.8257055548106172
full_old,bi_tsp,aubc,2,2,2.0,98.89055984900804
full_old,bi_tsp,hv_final,0,2,3.0,99.25893772619472
full_old,bi_tsp,valid_yield_per_100_calls,0,1,3.25,85.7805659787367
full_old,bi_tsp,invalid_null_proxy_rate,0,1,4.0,4.038682637744613
full_old,tri_tsp,aubc,2,2,2.25,96.87089023541672
full_old,tri_tsp,hv_final,0,0,3.75,99.72427732483912
full_old,tri_tsp,valid_yield_per_100_calls,1,1,2.75,88.66093366093367
full_old,tri_tsp,invalid_null_proxy_rate,0,1,3.25,1.864103499792387
full_old,bi_cvrp,aubc,0,1,3.0,93.66233488868248
full_old,bi_cvrp,hv_final,0,1,3.25,91.3716217578889
full_old,bi_cvrp,valid_yield_per_100_calls,0,0,4.375,82.05839353285174
full_old,bi_cvrp,invalid_null_proxy_rate,0,1,4.25,0.6294076129766314
full_old,bi_kp,aubc,0,0,3.5,83.70268968500311
full_old,bi_kp,hv_final,0,0,4.0,77.41212836334809
full_old,bi_kp,valid_yield_per_100_calls,1,3,1.75,97.3800505050505
full_old,bi_kp,invalid_null_proxy_rate,0,1,2.75,4.713644836820978
