method,metric,n_cells,mean_normalized_score,median_normalized_score,mean_rank,median_rank,best_cells,top2_cells,worst_cells
full,aubc,16,96.20084005344917,99.76465069914397,1.875,1.5,8,11,1
full,hv_final,16,97.60264634109716,99.73687674532238,1.875,2.0,6,12,0
full,valid_yield_per_100_calls,16,90.72345074294867,90.76923076923077,2.40625,2.75,3,6,1
full,invalid_null_proxy_rate,16,2.1973342367392275,0.3922680344404712,3.1875,3.5,0,5,8
mpage_orig,aubc,16,76.20938555661826,77.84106423416766,3.9375,4.0,0,0,15
mpage_orig,hv_final,16,91.21850769944295,97.3955058454402,3.1875,4.0,2,4,9
mpage_orig,valid_yield_per_100_calls,16,84.08360425723275,83.72994652406416,3.15625,4.0,2,4,10
mpage_orig,invalid_null_proxy_rate,16,100.0,100.0,1.0,1.0,16,16,0
dense_reward,aubc,16,95.43209336315047,98.14984926396015,2.0,2.0,4,12,0
dense_reward,hv_final,16,96.1180992648012,99.602778003824,2.5,3.0,5,7,4
dense_reward,valid_yield_per_100_calls,16,90.79199223764219,91.83868908278357,2.6875,3.0,2,6,2
dense_reward,invalid_null_proxy_rate,16,1.802040006209734,0.27521939279574675,3.25,3.0,0,2,6
hybrid_reward,aubc,16,96.2142719984938,98.25787499117988,2.1875,2.0,4,9,0
hybrid_reward,hv_final,16,97.5721693428671,99.08352827553882,2.4375,2.0,3,9,3
hybrid_reward,valid_yield_per_100_calls,16,94.37874659169331,98.68421052631578,1.75,1.75,7,14,1
hybrid_reward,invalid_null_proxy_rate,16,3.710317340042532,2.675130247424514,2.5625,2.0,0,9,2
