method,task,budget,metric,value,rank,normalized_score,is_best,is_top2
full,bi_tsp,25,aubc,12428.342497742873,1.0,100.0,True,True
no_budget_anneal,bi_tsp,25,aubc,11950.430266975745,4.0,96.15465834761214,False,False
no_ph,bi_tsp,25,aubc,12209.439356516552,3.0,98.23867791488627,False,False
no_diversity,bi_tsp,25,aubc,12320.368312508695,2.0,99.13122618519897,False,True
full,bi_tsp,25,hv_final,14717.520849463262,3.0,98.23164632905126,False,False
no_budget_anneal,bi_tsp,25,hv_final,14464.220822746083,4.0,96.54100298672988,False,False
no_ph,bi_tsp,25,hv_final,14982.463798034369,1.0,100.0,True,True
no_diversity,bi_tsp,25,hv_final,14880.659110937604,2.0,99.32050770508039,False,True
full,bi_tsp,50,aubc,12931.550050176418,3.0,95.7644029891688,False,False
no_budget_anneal,bi_tsp,50,aubc,12857.458321108139,4.0,95.21571778336379,False,False
no_ph,bi_tsp,50,aubc,13503.504064698245,1.0,100.0,True,True
no_diversity,bi_tsp,50,aubc,12960.844284664,2.0,95.98134101019821,False,True
full,bi_tsp,50,hv_final,14810.352873583684,3.0,98.47392377299606,False,False
no_budget_anneal,bi_tsp,50,hv_final,14880.246247340106,2.0,98.93864428426784,False,True
no_ph,bi_tsp,50,hv_final,15039.872796908945,1.0,100.0,True,True
no_diversity,bi_tsp,50,hv_final,14801.944385746523,4.0,98.41801580122858,False,False
full,bi_tsp,100,aubc,14030.133982536267,2.0,99.47239702347994,False,True
no_budget_anneal,bi_tsp,100,aubc,14005.35867643831,3.0,99.29674231571866,False,False
no_ph,bi_tsp,100,aubc,14104.550008204313,1.0,100.0,True,True
no_diversity,bi_tsp,100,aubc,13755.63354024394,4.0,97.52621340094214,False,False
full,bi_tsp,100,hv_final,15023.614726933849,3.0,98.46655178689137,False,False
no_budget_anneal,bi_tsp,100,hv_final,14977.311495427615,4.0,98.16307491891531,False,False
no_ph,bi_tsp,100,hv_final,15257.581843069991,1.0,100.0,True,True
no_diversity,bi_tsp,100,hv_final,15051.259577019015,2.0,98.64773941130987,False,True
full,bi_tsp,200,aubc,14331.861838455112,2.0,98.82931878777761,False,True
no_budget_anneal,bi_tsp,200,aubc,14211.461538755686,3.0,97.9990652076593,False,False
no_ph,bi_tsp,200,aubc,14180.308766527223,4.0,97.78424264710203,False,False
no_diversity,bi_tsp,200,aubc,14501.629692734012,1.0,100.0,True,True
full,bi_tsp,200,hv_final,15198.499615385379,2.0,99.64765056158956,False,True
no_budget_anneal,bi_tsp,200,hv_final,15197.386579431655,3.0,99.64035303745324,False,False
no_ph,bi_tsp,200,hv_final,15137.970927836008,4.0,99.25079944743315,False,False
no_diversity,bi_tsp,200,hv_final,15252.240800189857,1.0,100.0,True,True
full,tri_tsp,25,aubc,144450.15885480464,2.0,93.1919723488815,False,True
no_budget_anneal,tri_tsp,25,aubc,141582.0789583296,3.0,91.34163154949653,False,False
no_ph,tri_tsp,25,aubc,140588.74644591182,4.0,90.70078340668812,False,False
no_diversity,tri_tsp,25,aubc,155002.7917791337,1.0,100.0,True,True
full,tri_tsp,25,hv_final,206791.18680863173,3.0,99.78600688609046,False,False
no_budget_anneal,tri_tsp,25,hv_final,206984.8168029975,2.0,99.8794420283193,False,True
no_ph,tri_tsp,25,hv_final,206790.0426193879,4.0,99.78545476354827,False,False
no_diversity,tri_tsp,25,hv_final,207234.65469932248,1.0,100.0,True,True
full,tri_tsp,50,aubc,160956.9230416061,2.0,97.38968385817346,False,True
no_budget_anneal,tri_tsp,50,aubc,154495.79597272,4.0,93.48027063931087,False,False
no_ph,tri_tsp,50,aubc,156830.5762941919,3.0,94.89296860277565,False,False
no_diversity,tri_tsp,50,aubc,165271.01913176375,1.0,100.0,True,True
full,tri_tsp,50,hv_final,207540.11827129213,1.0,100.0,True,True
no_budget_anneal,tri_tsp,50,hv_final,206642.71174629178,4.0,99.56759852867229,False,False
no_ph,tri_tsp,50,hv_final,206893.46469914578,3.0,99.68841996548299,False,False
no_diversity,tri_tsp,50,hv_final,207109.23050809948,2.0,99.79238338747143,False,True
full,tri_tsp,100,aubc,179784.92002361311,1.0,100.0,True,True
no_budget_anneal,tri_tsp,100,aubc,177869.94769423793,4.0,98.93485375240388,False,False
no_ph,tri_tsp,100,aubc,178793.99023172204,3.0,99.44882485596627,False,False
no_diversity,tri_tsp,100,aubc,179646.66100350564,2.0,99.92309754339279,False,True
full,tri_tsp,100,hv_final,207927.80985654087,1.0,100.0,True,True
no_budget_anneal,tri_tsp,100,hv_final,207290.1804874707,3.0,99.6933409871868,False,False
no_ph,tri_tsp,100,hv_final,207646.88491369726,2.0,99.86489304002315,False,True
no_diversity,tri_tsp,100,hv_final,207201.23877498237,4.0,99.65056570255811,False,False
full,tri_tsp,200,aubc,188432.1466497327,4.0,97.69304360543221,False,False
no_budget_anneal,tri_tsp,200,aubc,192881.84674722832,1.0,100.0,True,True
no_ph,tri_tsp,200,aubc,192252.38712193875,2.0,99.67365533050165,False,True
no_diversity,tri_tsp,200,aubc,189161.66547474498,3.0,98.07126417793032,False,False
full,tri_tsp,200,hv_final,207635.00967666012,3.0,99.9131827957362,False,False
no_budget_anneal,tri_tsp,200,hv_final,207695.30539770788,2.0,99.94219686907687,False,True
no_ph,tri_tsp,200,hv_final,207815.42922233976,1.0,100.0,True,True
no_diversity,tri_tsp,200,hv_final,207480.65980895478,4.0,99.83891022209576,False,False
full,bi_cvrp,25,aubc,13399.392458098759,1.0,100.0,True,True
no_budget_anneal,bi_cvrp,25,aubc,10327.66987942511,4.0,77.07565780852205,False,False
no_ph,bi_cvrp,25,aubc,10665.752565642411,3.0,79.59877732513088,False,False
no_diversity,bi_cvrp,25,aubc,13271.386261896214,2.0,99.04468656617954,False,True
full,bi_cvrp,25,hv_final,18864.473998623725,1.0,100.0,True,True
