task,budget,baseline,other,metric,n_seeds,baseline_mean,other_mean,delta,wilcoxon_stat,p_value
bi_cvrp,25,full,mpage_orig,aubc,5,11679.829269406231,7322.6997910389455,4357.129478367286,0.0,0.0625
bi_cvrp,50,full,mpage_orig,aubc,5,13318.344835045384,7486.240679123577,5832.1041559218065,0.0,0.0625
bi_cvrp,100,full,mpage_orig,aubc,5,15059.802432771237,12211.73810911956,2848.064323651677,0.0,0.0625
bi_cvrp,200,full,mpage_orig,aubc,5,16372.148878227978,13339.386205422492,3032.7626728054856,1.0,0.125
bi_kp,25,full,mpage_orig,aubc,5,16007.383238471642,16217.363708114683,-209.98046964304012,7.0,1.0
bi_kp,50,full,mpage_orig,aubc,5,26573.2797562311,21096.101819160813,5477.177937070286,3.0,0.3125
bi_kp,100,full,mpage_orig,aubc,5,27489.81234369162,23046.102369149106,4443.709974542515,5.0,0.625
bi_kp,200,full,mpage_orig,aubc,5,29643.502125889925,25270.78269230578,4372.719433584145,4.0,0.4375
bi_tsp,25,full,mpage_orig,aubc,5,12750.803311842814,9841.931473058481,2908.871838784333,0.0,0.0625
bi_tsp,50,full,mpage_orig,aubc,5,12890.581194315117,11807.552832209509,1083.0283621056078,0.0,0.0625
bi_tsp,100,full,mpage_orig,aubc,5,13748.096663571898,12956.306839842171,791.7898237297268,0.0,0.0625
bi_tsp,200,full,mpage_orig,aubc,5,14471.783017027632,13462.571498930798,1009.211518096834,0.0,0.0625
tri_tsp,25,full,mpage_orig,aubc,5,115501.72384098762,87564.6536917624,27937.070149225212,4.0,0.4375
tri_tsp,50,full,mpage_orig,aubc,5,159646.02359464797,137434.62173016855,22211.401864479412,1.0,0.125
tri_tsp,100,full,mpage_orig,aubc,5,184626.4798816275,152646.74125501543,31979.73862661209,0.0,0.0625
tri_tsp,200,full,mpage_orig,aubc,5,195125.27178561568,165126.1997109829,29999.07207463277,0.0,0.0625
