task,budget,baseline,other,metric,n_seeds,baseline_mean,other_mean,delta,wilcoxon_stat,p_value
bi_cvrp,25,full,mpage_orig,hv_final,5,16264.426902738316,14386.82140386351,1877.6054988748056,5.0,0.625
bi_cvrp,50,full,mpage_orig,hv_final,5,17393.589249027504,16246.931831633952,1146.6574173935514,3.0,0.3125
bi_cvrp,100,full,mpage_orig,hv_final,5,17204.982887788123,18153.26695885686,-948.2840710687378,4.0,0.4375
bi_cvrp,200,full,mpage_orig,hv_final,5,18164.23681442562,17210.426910671402,953.8099037542197,6.0,0.8125
bi_kp,25,full,mpage_orig,hv_final,5,18721.813705780638,24123.138004274635,-5401.324298493997,6.0,0.8125
bi_kp,50,full,mpage_orig,hv_final,5,30255.583256025602,29638.702837502242,616.8804185233603,7.0,1.0
bi_kp,100,full,mpage_orig,hv_final,5,29927.26140087672,27239.858768085116,2687.4026327916035,5.0,0.625
bi_kp,200,full,mpage_orig,hv_final,5,31724.052920625625,29974.80829992475,1749.244620700876,7.0,1.0
bi_tsp,25,full,mpage_orig,hv_final,5,14764.542273114119,14750.83023495063,13.712038163488614,6.0,0.8125
bi_tsp,50,full,mpage_orig,hv_final,5,14558.456467250426,14911.440973810697,-352.98450656027126,0.0,0.0625
bi_tsp,100,full,mpage_orig,hv_final,5,15061.271043936717,15096.618843602013,-35.34779966529641,4.0,0.4375
bi_tsp,200,full,mpage_orig,hv_final,5,15174.886469447758,15016.311139088284,158.5753303594738,4.0,0.4375
tri_tsp,25,full,mpage_orig,hv_final,5,206382.30678867493,206676.6266863874,-294.31989771247027,7.0,1.0
tri_tsp,50,full,mpage_orig,hv_final,5,207330.75731613225,206978.34105713345,352.4162589987973,5.0,0.625
tri_tsp,100,full,mpage_orig,hv_final,5,206978.00380559993,207362.14294651497,-384.1391409150383,3.0,0.3125
tri_tsp,200,full,mpage_orig,hv_final,5,207247.7824727983,207182.2764044278,65.50606837050873,7.0,1.0
