task,budget,metric,best_method,best_mean,current_full_mean,current_is_best,current_gap_to_best_pct
bi_cvrp,25,aubc,full,13399.392458098759,13399.392458098759,True,0.0
bi_cvrp,25,hv_final,full,18864.473998623725,18864.473998623725,True,0.0
bi_cvrp,50,aubc,full,13893.797438292268,13893.797438292268,True,0.0
bi_cvrp,50,hv_final,dense_reward,18126.06805278319,17669.63358871531,False,-2.5181107272616465
bi_cvrp,100,aubc,hybrid_reward,15970.634878756646,14713.253548041008,False,-7.873082944173648
bi_cvrp,100,hv_final,full,18874.829633509045,18874.829633509045,True,0.0
bi_cvrp,200,aubc,dense_reward,16821.71814317823,15707.164092901405,False,-6.625684967434875
bi_cvrp,200,hv_final,dense_reward,19710.050447150115,19571.232765715155,False,-0.7042989656834364
bi_kp,25,aubc,full,23304.445221531994,23304.445221531994,True,0.0
bi_kp,25,hv_final,hybrid_reward,32421.27782011499,28805.20819393613,False,-11.153384040697356
bi_kp,50,aubc,full,30595.081045775918,30595.081045775918,True,0.0
bi_kp,50,hv_final,full,35331.15958226822,35331.15958226822,True,0.0
bi_kp,100,aubc,dense_reward,30128.492937464445,28990.40519447092,False,-3.777446636165216
bi_kp,100,hv_final,dense_reward,36834.60207607608,35728.23221904697,False,-3.0036156078028897
bi_kp,200,aubc,hybrid_reward,33675.85110533458,24189.08308982593,False,-28.17083371058692
bi_kp,200,hv_final,hybrid_reward,37313.153545339504,30175.451630595526,False,-19.129184313169624
bi_tsp,25,aubc,full_old,12750.803311842812,12428.342497742873,False,-2.5289450885062292
bi_tsp,25,hv_final,dense_reward,14767.22654067385,14717.520849463262,False,-0.33659462779744853
bi_tsp,50,aubc,dense_reward,13211.289905799602,12931.550050176418,False,-2.117430301036549
bi_tsp,50,hv_final,mpage_orig,14911.440973810697,14810.352873583684,False,-0.6779230820452287
bi_tsp,100,aubc,full,14030.133982536267,14030.133982536267,True,0.0
bi_tsp,100,hv_final,mpage_orig,15096.618843602013,15023.614726933849,False,-0.4835792532385752
bi_tsp,200,aubc,full_old,14471.783017027632,14331.861838455112,False,-0.966855144303147
bi_tsp,200,hv_final,dense_reward,15227.378625460495,15198.499615385379,False,-0.18965188155779522
tri_tsp,25,aubc,hybrid_reward,157417.9140573497,144450.15885480464,False,-8.237788742277907
tri_tsp,25,hv_final,hybrid_reward,207125.31316828294,206791.18680863173,False,-0.16131604319156168
tri_tsp,50,aubc,dense_reward,166818.2373547693,160956.9230416061,False,-3.5135932414260385
tri_tsp,50,hv_final,full,207540.11827129213,207540.11827129213,True,0.0
tri_tsp,100,aubc,full_old,184626.4798816275,179784.92002361311,False,-2.622353987964532
tri_tsp,100,hv_final,full,207927.80985654087,207927.80985654087,True,0.0
tri_tsp,200,aubc,full_old,195125.27178561568,188432.1466497327,False,-3.4301682578752435
tri_tsp,200,hv_final,full,207635.00967666012,207635.00967666012,True,0.0
