method,task,budget,n,aubc_mean,aubc_std,hv_final_mean,hv_final_std,pareto_size_mean,pareto_size_std,valid_yield_per_100_calls_mean,valid_yield_per_100_calls_std,invalid_null_proxy_rate_mean,invalid_null_proxy_rate_std,recorded_null_rate_mean,recorded_null_rate_std
full,bi_tsp,25,5,12428.342497742873,636.4237817093339,14717.520849463262,438.00914685870936,4.0,0.0,26.400000000000002,6.066300355241241,0.6878787878787879,0.07517400465457659,0.0,0.0
full,bi_tsp,50,5,12931.550050176418,165.45413104349228,14810.352873583684,336.99459890902835,6.0,0.0,23.2,4.381780460041329,0.7374747474747475,0.05023336013407989,0.0,0.0
full,bi_tsp,100,5,14030.133982536267,156.7435685860782,15023.614726933849,75.38987620016667,8.0,0.0,22.6,7.765307463326871,0.7488888888888889,0.08628119403696523,0.0,0.0
full,bi_tsp,200,5,14331.861838455112,273.2295610324218,15198.499615385379,106.08712765613488,10.0,0.0,24.8,15.118697033805525,0.7289617486338797,0.1652316615716451,0.0,0.0
full,tri_tsp,25,5,144450.15885480464,17270.51375100898,206791.18680863173,1038.879517668942,6.0,0.0,27.200000000000003,3.3466401061363027,0.7065217391304348,0.03919077473330422,0.0,0.0
full,tri_tsp,50,5,160956.9230416061,11510.529510863978,207540.11827129213,771.9627445061875,8.0,0.0,18.4,2.1908902300206643,0.8024051803885291,0.025265150379682296,0.0,0.0
full,tri_tsp,100,5,179784.92002361311,8760.244339776636,207927.80985654087,607.0182332301601,10.0,0.0,14.8,2.3874672772626644,0.8403633632737509,0.02682939493605954,0.0,0.0
full,tri_tsp,200,5,188432.1466497327,4382.009869722449,207635.00967666012,464.7404610890621,12.0,0.0,11.0,1.6583123951777,0.8824711240957355,0.01771917320224781,0.0,0.0
full,bi_cvrp,25,5,13399.392458098759,3885.414059760705,18864.473998623725,2980.5222424311787,4.0,0.0,16.8,1.7888543819998317,0.8153961980048937,0.020980625493261514,0.0,0.0
full,bi_cvrp,50,5,13893.797438292268,796.9257685129528,17669.63358871531,1361.8904340130712,6.0,0.0,15.200000000000001,1.0954451150103313,0.8331399097356544,0.014170746741744665,0.0,0.0
full,bi_cvrp,100,5,14713.253548041008,603.1988190403579,18874.829633509045,1898.9203043510752,8.0,0.0,12.0,3.1622776601683795,0.8694645233214658,0.034833647046821355,0.0,0.0
full,bi_cvrp,200,5,15707.164092901405,874.49062431015,19571.232765715155,2931.435115857008,10.0,0.0,9.1,2.5836021365527624,0.9013622177577297,0.02822957285350806,0.0,0.0
full,bi_kp,25,5,23304.445221531994,12812.953296657708,28805.20819393613,9574.928709328067,4.0,0.0,19.2,3.3466401061363023,0.7740259740259741,0.035355007773325405,0.0,0.0
full,bi_kp,50,5,30595.081045775918,3615.420541276064,35331.15958226822,2461.794083728748,6.0,0.0,14.8,3.03315017762062,0.8334343434343434,0.03356287662094458,0.0,0.0
full,bi_kp,100,5,28990.40519447092,8224.104699038695,35728.23221904697,3918.223539789011,8.0,0.0,13.8,1.7888543819998317,0.8479609279609279,0.020268326049323156,0.0,0.0
full,bi_kp,200,5,24189.08308982593,9294.791166291348,30175.451630595526,9609.970709271742,10.0,0.0,10.8,2.4392621835300936,0.8822760750772155,0.02630841440240698,0.0,0.0
full_old,bi_tsp,25,5,12750.803311842812,380.39210874516306,14764.542273114119,486.4756503198378,4.0,0.0,28.0,7.483314773547883,0.6666666666666666,0.08908708063747481,0.0,0.0
full_old,bi_tsp,50,5,12890.581194315118,198.51981149705486,14558.456467250428,236.01391731965103,6.0,0.0,25.2,4.381780460041329,0.7136363636363636,0.0497929597731969,0.0,0.0
full_old,bi_tsp,100,5,13748.096663571898,242.25605019952928,15061.271043936715,70.18103293987683,8.0,0.0,20.6,4.33589667773576,0.7715018315018315,0.04869985985296392,0.0,0.0
full_old,bi_tsp,200,5,14471.783017027632,187.13742143315375,15174.88646944776,174.5129163590588,10.0,0.0,18.6,3.8470768123342682,0.7968876217628891,0.04229403402351881,0.0,0.0
full_old,tri_tsp,25,5,144482.8513211069,10824.205593913814,206382.30678867493,1195.81678125212,6.0,0.0,28.8,3.346640106136302,0.6891304347826087,0.040378642654362404,0.0,0.0
full_old,tri_tsp,50,5,159646.02359464797,15244.744744852933,207330.75731613225,665.2983503309486,8.0,0.0,18.4,2.6076809620810595,0.8014348853941823,0.030692928370175936,0.0,0.0
full_old,tri_tsp,100,5,184626.4798816275,6767.002300027243,206978.00380559996,761.6185272882087,10.0,0.0,13.200000000000001,1.643167672515499,0.8571061243571763,0.018108324568392016,0.0,0.0
full_old,tri_tsp,200,5,195125.27178561568,2228.146219051774,207247.78247279834,561.6985469763074,12.0,0.0,9.0,0.5,0.9032258064516129,0.005376344086021501,0.0,0.0
full_old,bi_cvrp,25,5,11679.829269406231,1010.7411552010833,16264.426902738316,2121.3491201430606,4.0,0.0,17.6,2.1908902300206643,0.8030538302277432,0.02704544214677381,0.0,0.0
full_old,bi_cvrp,50,5,13318.344835045384,1845.2379367208512,17393.589249027504,2422.545092052256,6.0,0.0,14.4,1.673320053068151,0.8434782608695652,0.018188261446392934,0.0,0.0
full_old,bi_cvrp,100,5,15059.802432771237,1343.7888984561278,17204.982887788126,1900.5107126171222,8.0,0.0,10.6,1.51657508881031,0.8834087168869778,0.017597514091141585,0.0,0.0
full_old,bi_cvrp,200,5,16372.148878227976,1992.701653709026,18164.23681442562,2104.1985355813213,10.0,0.0,8.3,0.8366600265340756,0.9102809471463048,0.008915229379590552,0.0,0.0
full_old,bi_kp,25,5,16007.383238471644,12377.568982219676,18721.813705780638,14129.02219875739,4.0,0.0,20.8,5.21536192416212,0.7541125541125541,0.06416571656402077,0.0,0.0
full_old,bi_kp,50,5,26573.2797562311,11014.373663561428,30255.583256025602,12353.336595718667,6.0,0.0,16.0,1.9999999999999991,0.8190909090909091,0.021656598635584737,0.0,0.0
full_old,bi_kp,100,5,27489.81234369162,11780.741684806673,29927.261400876712,12836.51937482087,8.0,0.0,14.2,2.7748873851023217,0.8424908424908425,0.031222674859865462,0.0,0.0
full_old,bi_kp,200,5,29643.502125889925,8713.964716911696,31724.052920625625,9239.259756438692,10.0,0.0,13.5,3.1622776601683795,0.8527322404371585,0.03475680788678393,0.0,0.0
mpage_orig,bi_tsp,25,5,9841.931473058481,2014.447470685336,14750.830234950628,622.6287551591525,4.0,0.0,32.800000000000004,6.572670690061991,0.18706293706293706,0.11184542181662575,0.18706293706293706,0.11184542181662575
mpage_orig,bi_tsp,50,5,11807.552832209507,1027.4450481708864,14911.440973810697,266.07436365382915,6.0,0.0,22.8,5.403702434442518,0.2745660531419045,0.08746877099899138,0.2745660531419045,0.08746877099899138
mpage_orig,bi_tsp,100,5,12956.306839842173,488.2880765600167,15096.618843602013,89.22998930891276,8.0,0.0,19.8,1.6431676725154984,0.21897902097902097,0.04886880203376952,0.21897902097902097,0.04886880203376952
mpage_orig,bi_tsp,200,5,13462.571498930798,678.3943278513354,15016.311139088282,262.7024707961138,10.0,0.0,16.0,3.905124837953327,0.30142752630097314,0.1041745046021358,0.30142752630097314,0.1041745046021358
mpage_orig,tri_tsp,25,5,87564.65369176242,34752.667878287124,206676.62668638738,785.8609026020088,6.0,0.0,24.0,0.0,0.28714285714285714,0.15895064052229857,0.28714285714285714,0.15895064052229857
mpage_orig,tri_tsp,50,5,137434.62173016855,16143.730822279967,206978.34105713342,420.00749521982556,8.0,0.0,18.4,3.286335345030997,0.3344537815126051,0.1402376790869448,0.3344537815126051,0.1402376790869448
mpage_orig,tri_tsp,100,5,152646.74125501543,19390.622488398243,207362.14294651497,561.1101880333053,10.0,0.0,11.8,1.7888543819998324,0.4342369991474851,0.1000092951057835,0.4342369991474851,0.1000092951057835
mpage_orig,tri_tsp,200,5,165126.1997109829,3139.721523175477,207182.2764044278,443.9886253987378,12.0,0.0,7.8,1.2041594578792294,0.5391754315892247,0.030877636112578506,0.5391754315892247,0.030877636112578506
mpage_orig,bi_cvrp,25,5,7322.699791038945,3009.5395090233865,14386.82140386351,5496.103660591526,4.0,0.0,20.8,5.21536192416212,0.32515873015873015,0.10611336678871841,0.32515873015873015,0.10611336678871841
mpage_orig,bi_cvrp,50,5,7486.240679123576,2639.583332482992,16246.93183163395,2880.3469446310096,6.0,0.0,15.200000000000001,1.7888543819998308,0.5067350193665983,0.12075984725448076,0.5067350193665983,0.12075984725448076
mpage_orig,bi_cvrp,100,5,12211.73810911956,1364.4125305496952,18153.26695885686,1676.0805068485195,8.0,0.0,11.4,2.6076809620810595,0.5253511705685618,0.06789025811319478,0.5253511705685618,0.06789025811319478
mpage_orig,bi_cvrp,200,5,13339.38620542249,2106.375774510474,17210.426910671405,2020.207535483694,10.0,0.0,8.6,1.244989959798873,0.4825174825174825,0.08075917693838526,0.4825174825174825,0.08075917693838526
