comparator,task,budget,seed,metric,full,comparator_value,delta,delta_pct
full_old,bi_tsp,25,2025,aubc,13024.238918151717,12302.944871554813,721.2940465969041,5.862775572250034
full_old,bi_tsp,25,2026,aubc,13123.326645104798,12636.45248828009,486.8741568247078,3.8529338615902464
full_old,bi_tsp,25,2027,aubc,11833.354468949772,12563.912250080051,-730.5577811302792,-5.814731642411974
full_old,bi_tsp,25,2028,aubc,12385.274436273967,13282.889842374232,-897.6154061002653,-6.757681624647294
full_old,bi_tsp,25,2029,aubc,11775.518020234107,12967.817106924876,-1192.2990866907694,-9.194292893397426
full_old,bi_tsp,25,2025,hv_final,14536.88709305557,14646.362942327158,-109.47584927158823,-0.7474609887974881
full_old,bi_tsp,25,2026,hv_final,15263.779217934301,15043.395819381061,220.3833985532401,1.4649843771930238
full_old,bi_tsp,25,2027,hv_final,14273.1958389995,13959.902500088947,313.29333891055285,2.2442372997129256
full_old,bi_tsp,25,2028,hv_final,14413.461889953944,15094.19300269799,-680.7311127440462,-4.509887429042214
full_old,bi_tsp,25,2029,hv_final,15100.280207372994,15078.857101075439,21.423106297555933,0.1420738067477778
full_old,bi_tsp,50,2025,aubc,12834.430162921422,13041.64516717303,-207.21500425160775,-1.588871661477087
full_old,bi_tsp,50,2026,aubc,12789.328508037073,12753.339524601453,35.98898343561996,0.2821926238707695
full_old,bi_tsp,50,2027,aubc,12810.097187996642,12667.16729879381,142.92988920283278,1.1283492657150118
full_old,bi_tsp,50,2028,aubc,13113.357908658963,13143.880821963163,-30.522913304199392,-0.23222147033771234
full_old,bi_tsp,50,2029,aubc,13110.536483267988,12846.873159044133,263.66332422385494,2.0523540705952747
full_old,bi_tsp,50,2025,hv_final,15101.115225139625,14839.0814488819,262.03377625772555,1.7658355549862614
full_old,bi_tsp,50,2026,hv_final,14695.422101762046,14492.49330351833,202.9287982437163,1.400233858962352
full_old,bi_tsp,50,2027,hv_final,14280.921487786007,14406.545987334657,-125.62449954865042,-0.8719959639117647
full_old,bi_tsp,50,2028,hv_final,14904.401318350609,14287.64072405273,616.7605942978789,4.316742044469146
full_old,bi_tsp,50,2029,hv_final,15069.90423488014,14766.520872464524,303.3833624156159,2.054535154461079
full_old,bi_tsp,100,2025,aubc,13918.09759149614,13932.345022905201,-14.247431409061392,-0.10226154596113535
full_old,bi_tsp,100,2026,aubc,14117.248139808182,13624.770713770302,492.4774260378799,3.6145740459334164
full_old,bi_tsp,100,2027,aubc,14252.99935548939,13819.887443848946,433.1119116404443,3.1339756810625508
full_old,bi_tsp,100,2028,aubc,13864.553711480794,13974.686237881448,-110.13252640065366,-0.7880858612919317
full_old,bi_tsp,100,2029,aubc,13997.771114406823,13388.793899453589,608.9772149532346,4.548409808430076
full_old,bi_tsp,100,2025,hv_final,14968.25389571526,15146.915424690169,-178.66152897490974,-1.1795241735071849
full_old,bi_tsp,100,2026,hv_final,14946.857918219399,15090.048482109447,-143.190563890048,-0.9489072487726791
full_old,bi_tsp,100,2027,hv_final,15014.01187066634,15087.354409789317,-73.34253912297754,-0.4861192832813055
full_old,bi_tsp,100,2028,hv_final,15137.157173000645,15013.23571045276,123.92146254788531,0.8254147536070899
full_old,bi_tsp,100,2029,hv_final,15051.7927770676,14968.80119264188,82.99158442571934,0.5544304006557033
full_old,bi_tsp,200,2025,aubc,14380.437637309426,14410.706238604653,-30.2686012952272,-0.210042455893944
full_old,bi_tsp,200,2026,aubc,14592.658812191205,14593.369046464124,-0.7102342729194788,-0.0048668286991016
full_old,bi_tsp,200,2027,aubc,13989.500831149868,14729.14053618899,-739.6397050391224,-5.021608037630254
full_old,bi_tsp,200,2028,aubc,14113.315819659387,14263.780353739136,-150.46453407974877,-1.0548713619268901
full_old,bi_tsp,200,2029,aubc,14583.396091965678,14361.918910141254,221.4771818244244,1.5421141367678581
full_old,bi_tsp,200,2025,hv_final,15101.350558915781,15331.857362657063,-230.50680374128206,-1.503449962316472
full_old,bi_tsp,200,2026,hv_final,15377.813820348845,15132.622674125534,245.19114622331108,1.6202819002587798
full_old,bi_tsp,200,2027,hv_final,15183.61359870662,15264.129676946215,-80.51607823959421,-0.5274855490857044
full_old,bi_tsp,200,2028,hv_final,15143.162618048673,15255.43628569975,-112.27366765107763,-0.7359584186807044
full_old,bi_tsp,200,2029,hv_final,15186.557480906975,14890.386347810232,296.1711330967428,1.9890090571108576
full_old,tri_tsp,25,2025,aubc,115479.60804093242,149173.74201258388,-33694.13397165146,-22.587174872109273
full_old,tri_tsp,25,2026,aubc,149119.5999347522,157431.92452441863,-8312.324589666445,-5.279948533168799
full_old,tri_tsp,25,2027,aubc,161070.49968497525,144905.63740059652,16164.86228437873,11.15544058488933
full_old,tri_tsp,25,2028,aubc,144667.47474195415,127846.85476983014,16820.619972124012,13.156850829382627
