ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
dense_reward,bi_cvrp,100,2025,16145.927137760917,100.0,100.0,17842.720438209464,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2025/20260618_064041_BICVRPEvaluation_BMAB-dense_reward,10,10,0,0.0,10.0,91,9,81,0.8901098901098901
dense_reward,bi_cvrp,100,2026,15760.145920986768,100.0,100.0,17615.456404041688,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2026/20260618_070605_BICVRPEvaluation_BMAB-dense_reward,17,17,0,0.0,17.0,91,9,74,0.8131868131868132
dense_reward,bi_cvrp,100,2027,11502.932641358455,100.0,100.0,14543.400997291288,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2027/20260618_072908_BICVRPEvaluation_BMAB-dense_reward,16,16,0,0.0,16.0,91,9,75,0.8241758241758241
dense_reward,bi_cvrp,100,2028,15571.604527778261,100.0,100.0,17410.893505500368,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2028/20260619_013341_BICVRPEvaluation_BMAB-dense_reward,13,13,0,0.0,13.0,91,9,78,0.8571428571428571
dense_reward,bi_cvrp,100,2029,15992.949597705547,100.0,100.0,18080.900810337163,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2029/20260618_082329_BICVRPEvaluation_BMAB-dense_reward,12,12,0,0.0,12.0,91,9,79,0.8681318681318682
dense_reward,bi_cvrp,200,2025,15904.607734908128,200.0,200.0,18076.75657911258,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2025/20260618_084832_BICVRPEvaluation_BMAB-dense_reward,20,20,0,0.0,10.0,185,15,165,0.8918918918918919
dense_reward,bi_cvrp,200,2026,16811.52982289634,200.0,200.0,18480.384255588197,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2026/20260618_093143_BICVRPEvaluation_BMAB-dense_reward,14,14,0,0.0,7.000000000000001,185,15,171,0.9243243243243243
dense_reward,bi_cvrp,200,2027,17303.211583223456,200.0,200.0,23664.697411482968,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2027/20260618_100901_BICVRPEvaluation_BMAB-dense_reward,24,24,0,0.0,12.0,185,15,161,0.8702702702702703
dense_reward,bi_cvrp,200,2028,21074.612408577526,200.0,200.0,23746.1147577635,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2028/20260618_105607_BICVRPEvaluation_BMAB-dense_reward,38,38,0,0.0,19.0,186,14,148,0.7956989247311828
dense_reward,bi_cvrp,200,2029,13014.629166285698,200.0,200.0,14582.299231803338,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2029/20260618_114631_BICVRPEvaluation_BMAB-dense_reward,21,21,0,0.0,10.5,185,15,164,0.8864864864864865
dense_reward,bi_cvrp,25,2025,12909.170794904223,25.0,25.0,16302.478793852824,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2025/20260618_051929_BICVRPEvaluation_BMAB-dense_reward,5,5,0,0.0,20.0,22,3,17,0.7727272727272727
dense_reward,bi_cvrp,25,2026,12861.593476759352,25.0,25.0,17863.324273276878,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2026/20260618_052410_BICVRPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,23,2,19,0.8260869565217391
dense_reward,bi_cvrp,25,2027,13136.158124812106,25.0,25.0,17751.56503352987,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2027/20260618_052848_BICVRPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,22,3,18,0.8181818181818182
dense_reward,bi_cvrp,25,2028,7474.496723058774,25.0,25.0,12887.063315618576,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2028/20260618_053454_BICVRPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,24,1,20,0.8333333333333334
dense_reward,bi_cvrp,25,2029,0.0,25.0,25.0,18392.16389516577,1,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2029/20260618_053907_BICVRPEvaluation_BMAB-dense_reward,1,1,0,0.0,4.0,25,0,24,0.96
dense_reward,bi_cvrp,50,2025,15634.83910464972,50.0,50.0,18393.928358411435,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2025/20260618_054401_BICVRPEvaluation_BMAB-dense_reward,8,8,0,0.0,16.0,45,5,37,0.8222222222222222
dense_reward,bi_cvrp,50,2026,10804.901516858345,50.0,50.0,18906.210373493526,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2026/20260618_055303_BICVRPEvaluation_BMAB-dense_reward,10,10,0,0.0,20.0,45,5,35,0.7777777777777778
dense_reward,bi_cvrp,50,2027,13637.439091198945,50.0,50.0,17046.79886399868,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2027/20260618_060343_BICVRPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,45,5,39,0.8666666666666667
dense_reward,bi_cvrp,50,2028,14030.005611656983,50.0,50.0,17109.7629410451,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2028/20260618_061437_BICVRPEvaluation_BMAB-dense_reward,7,7,0,0.0,14.000000000000002,45,5,38,0.8444444444444444
dense_reward,bi_cvrp,50,2029,14571.966192495087,50.0,50.0,19173.639726967216,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2029/20260618_062513_BICVRPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,46,4,40,0.8695652173913043
dense_reward,bi_kp,100,2025,15066.292347703287,100.0,100.0,29826.45383224025,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2025/20260618_150320_BIKPEvaluation_BMAB-dense_reward,12,12,0,0.0,12.0,91,9,79,0.8681318681318682
dense_reward,bi_kp,100,2026,35875.23694568177,100.0,100.0,39207.9092302533,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2026/20260618_152933_BIKPEvaluation_BMAB-dense_reward,11,11,0,0.0,11.0,90,10,79,0.8777777777777778
dense_reward,bi_kp,100,2027,30736.01456507377,100.0,100.0,37616.48568064467,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2027/20260618_155633_BIKPEvaluation_BMAB-dense_reward,15,15,0,0.0,15.0,90,10,75,0.8333333333333334
dense_reward,bi_kp,100,2028,36919.18154515437,100.0,100.0,38862.29636332039,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2028/20260618_162544_BIKPEvaluation_BMAB-dense_reward,14,14,0,0.0,14.000000000000002,90,10,76,0.8444444444444444
dense_reward,bi_kp,100,2029,32045.739283709023,100.0,100.0,38659.86527392178,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2029/20260618_164810_BIKPEvaluation_BMAB-dense_reward,19,19,0,0.0,19.0,91,9,72,0.7912087912087912
dense_reward,bi_kp,200,2025,36903.892161316646,200.0,200.0,39824.474946096256,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2025/20260618_171851_BIKPEvaluation_BMAB-dense_reward,26,26,0,0.0,13.0,183,17,157,0.8579234972677595
dense_reward,bi_kp,200,2026,33124.19621956897,200.0,200.0,39979.906847219914,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2026/20260619_015143_BIKPEvaluation_BMAB-dense_reward,22,22,0,0.0,11.0,184,16,162,0.8804347826086957
