ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
dense_reward,bi_cvrp,100,2025,16145.927137760917,17842.720438209464,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2025/20260618_064041_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,100,2026,15760.145920986768,17615.456404041688,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2026/20260618_070605_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,100,2027,11502.932641358455,14543.400997291288,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2027/20260618_072908_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,100,2028,15571.604527778261,17410.893505500368,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2028/20260619_013341_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,100,2029,15992.949597705547,18080.900810337163,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B100/seed2029/20260618_082329_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,200,2025,15904.607734908128,18076.75657911258,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2025/20260618_084832_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,200,2026,16811.52982289634,18480.384255588197,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2026/20260618_093143_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,200,2027,17303.211583223456,23664.697411482968,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2027/20260618_100901_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,200,2028,21074.612408577526,23746.1147577635,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2028/20260618_105607_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,200,2029,13014.629166285698,14582.299231803338,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B200/seed2029/20260618_114631_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,25,2025,12909.170794904223,16302.478793852824,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2025/20260618_051929_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,25,2026,12861.593476759352,17863.324273276878,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2026/20260618_052410_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,25,2027,13136.158124812106,17751.56503352987,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2027/20260618_052848_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,25,2028,7474.496723058774,12887.063315618576,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2028/20260618_053454_BICVRPEvaluation_BMAB-dense_reward
dense_reward,bi_cvrp,25,2029,12725.907407334587,16315.265906839215,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B25/seed2029/20260621_010409_BICVRPEvaluation_BMAB-dense_reward
