task,budget,full_valid_yield_per_budget_mean,full_valid_yield_per_budget_std,full_recorded_null_rate_mean,full_recorded_null_rate_std,full_invalid_null_proxy_rate_mean,full_invalid_null_proxy_rate_std,full_valid_count_mean,full_valid_count_std,full_null_score_count_mean,full_null_score_count_std,full_sample_count_mean,full_sample_count_std,mpage_orig_valid_yield_per_budget_mean,mpage_orig_valid_yield_per_budget_std,mpage_orig_recorded_null_rate_mean,mpage_orig_recorded_null_rate_std,mpage_orig_invalid_null_proxy_rate_mean,mpage_orig_invalid_null_proxy_rate_std,mpage_orig_valid_count_mean,mpage_orig_valid_count_std,mpage_orig_null_score_count_mean,mpage_orig_null_score_count_std,mpage_orig_sample_count_mean,mpage_orig_sample_count_std,yield_delta,yield_delta_pct,invalid_proxy_delta
bi_tsp,25,0.28,0.07483314773547882,0.0,0.0,0.6666666666666665,0.08908708063747481,7.0,1.8708286933869707,0.0,0.0,7.0,1.8708286933869707,0.328,0.06572670690061992,0.18706293706293708,0.11184542181662575,0.18706293706293708,0.11184542181662575,8.2,1.6431676725154984,2.0,1.4142135623730951,10.2,2.16794833886788,-0.04799999999999999,-14.634146341463406,0.47960372960372943
bi_tsp,50,0.252,0.04381780460041329,0.0,0.0,0.7136363636363636,0.0497929597731969,12.6,2.1908902300206643,0.0,0.0,12.6,2.1908902300206643,0.22800000000000004,0.054037024344425186,0.2745660531419045,0.08746877099899138,0.2745660531419045,0.08746877099899138,11.4,2.701851217221259,4.6,2.4083189157584592,16.0,4.47213595499958,0.023999999999999966,10.526315789473673,0.4390703104944591
bi_tsp,100,0.20600000000000002,0.043358966777357594,0.0,0.0,0.7715018315018314,0.04869985985296392,20.6,4.33589667773576,0.0,0.0,20.6,4.33589667773576,0.198,0.016431676725154984,0.218979020979021,0.04886880203376952,0.218979020979021,0.04886880203376952,19.8,1.6431676725154984,5.6,1.51657508881031,25.4,2.1908902300206647,0.008000000000000007,4.040404040404044,0.5525228105228104
bi_tsp,200,0.186,0.038470768123342686,0.0,0.0,0.7968876217628891,0.04229403402351881,37.2,7.694153624668538,0.0,0.0,37.2,7.694153624668538,0.16,0.03905124837953327,0.30142752630097314,0.1041745046021358,0.30142752630097314,0.1041745046021358,32.0,7.810249675906654,13.4,3.5071355833500366,45.4,6.580273550544841,0.025999999999999995,16.249999999999986,0.49546009546191594
tri_tsp,25,0.264,0.04560701700396553,0.0,0.0,0.7186956521739131,0.05717845906873044,6.6,1.1401754250991378,0.0,0.0,6.6,1.1401754250991378,0.24,0.0,0.2871428571428571,0.15895064052229857,0.2871428571428571,0.15895064052229857,6.0,0.0,2.8,2.16794833886788,8.8,2.16794833886788,0.02400000000000002,10.000000000000009,0.431552795031056
tri_tsp,50,0.184,0.026076809620810597,0.0,0.0,0.8014348853941824,0.030692928370175936,9.2,1.3038404810405297,0.0,0.0,9.2,1.3038404810405297,0.184,0.03286335345030996,0.334453781512605,0.1402376790869448,0.334453781512605,0.1402376790869448,9.2,1.6431676725154984,4.8,2.588435821108957,14.0,1.7320508075688772,0.0,0.0,0.4669811038815774
tri_tsp,100,0.132,0.016431676725154984,0.0,0.0,0.8571061243571763,0.018108324568392016,13.2,1.6431676725154984,0.0,0.0,13.2,1.6431676725154984,0.118,0.01788854381999832,0.43423699914748515,0.1000092951057835,0.43423699914748515,0.1000092951057835,11.8,1.7888543819998317,9.4,3.5071355833500366,21.2,3.492849839314596,0.014000000000000012,11.86440677966103,0.4228691252096911
tri_tsp,200,0.09000000000000001,0.0049999999999999975,0.0,0.0,0.9032258064516128,0.005376344086021501,18.0,1.0,0.0,0.0,18.0,1.0,0.078,0.012041594578792296,0.5391754315892247,0.030877636112578506,0.5391754315892247,0.030877636112578506,15.6,2.4083189157584592,18.2,2.16794833886788,33.8,4.08656334834051,0.01200000000000001,15.384615384615397,0.3640503748623881
bi_cvrp,25,0.176,0.02190890230020665,0.0,0.0,0.8030538302277431,0.027045442146773815,4.4,0.5477225575051662,0.0,0.0,4.4,0.5477225575051662,0.20800000000000002,0.052153619241621194,0.32515873015873015,0.10611336678871841,0.32515873015873015,0.10611336678871841,5.2,1.3038404810405297,2.6,1.140175425099138,7.8,1.9235384061671346,-0.03200000000000003,-15.384615384615397,0.477895100069013
bi_cvrp,50,0.14400000000000002,0.016733200530681513,0.0,0.0,0.8434782608695652,0.018188261446392934,7.2,0.8366600265340756,0.0,0.0,7.2,0.8366600265340756,0.15200000000000002,0.01788854381999831,0.5067350193665983,0.12075984725448076,0.5067350193665983,0.12075984725448076,7.6,0.8944271909999159,8.6,4.219004621945797,16.2,4.324349662087931,-0.008000000000000007,-5.263157894736848,0.336743241502967
bi_cvrp,100,0.10600000000000001,0.015165750888103104,0.0,0.0,0.8834087168869778,0.017597514091141585,10.6,1.51657508881031,0.0,0.0,10.6,1.51657508881031,0.11400000000000002,0.026076809620810593,0.5253511705685618,0.06789025811319478,0.5253511705685618,0.06789025811319478,11.4,2.6076809620810595,12.4,1.1401754250991378,23.8,2.4899799195977463,-0.008000000000000007,-7.017543859649122,0.3580575463184159
bi_cvrp,200,0.08299999999999999,0.008366600265340758,0.0,0.0,0.9102809471463049,0.008915229379590552,16.6,1.6733200530681511,0.0,0.0,16.6,1.6733200530681511,0.08600000000000001,0.012449899597988728,0.4825174825174825,0.08075917693838526,0.4825174825174825,0.08075917693838526,17.2,2.4899799195977463,16.2,3.7682887362833544,33.4,3.286335345030997,-0.0030000000000000165,-3.488372093023273,0.4277634646288224
bi_kp,25,0.20800000000000002,0.052153619241621194,0.0,0.0,0.7541125541125542,0.06416571656402077,5.2,1.3038404810405297,0.0,0.0,5.2,1.3038404810405297,0.192,0.03346640106136302,0.39380341880341885,0.16022720531607093,0.39380341880341885,0.16022720531607093,4.8,0.8366600265340756,3.6,2.4083189157584592,8.4,2.8809720581775866,0.016000000000000014,8.333333333333348,0.36030913530913533
bi_kp,50,0.16,0.01999999999999999,0.0,0.0,0.8190909090909091,0.021656598635584737,8.0,1.0,0.0,0.0,8.0,1.0,0.156,0.021908902300206645,0.33497326203208555,0.17888663715145667,0.33497326203208555,0.17888663715145667,7.8,1.0954451150103321,4.4,3.1304951684997055,12.2,2.7748873851023217,0.0040000000000000036,2.564102564102577,0.48411764705882354
