ablation,task,budget,seed,total_budget,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_budget,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate,run_dir
full,bi_cvrp,100,2025,100.0,10,10,0,0.0,0.1,90,10,80,0.8888888888888888,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2025/20260524_152014_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2026,100.0,11,11,0,0.0,0.11,91,9,80,0.8791208791208791,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2026/20260524_154718_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2027,100.0,10,10,0,0.0,0.1,92,8,82,0.8913043478260869,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2027/20260524_162107_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2028,100.0,9,9,0,0.0,0.09,92,8,83,0.9021739130434783,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2028/20260524_165338_BICVRPEvaluation_BMAB-full
full,bi_cvrp,100,2029,100.0,13,13,0,0.0,0.13,90,10,77,0.8555555555555555,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B100/seed2029/20260524_172752_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2025,200.0,17,17,0,0.0,0.085,185,15,168,0.9081081081081082,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2025/20260524_185649_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2026,200.0,15,15,0,0.0,0.075,185,15,170,0.918918918918919,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2026/20260524_200556_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2027,200.0,15,15,0,0.0,0.075,184,16,169,0.9184782608695652,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2027/20260524_211313_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2028,200.0,19,19,0,0.0,0.095,185,15,166,0.8972972972972973,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2028/20260524_222033_BICVRPEvaluation_BMAB-full
full,bi_cvrp,200,2029,200.0,17,17,0,0.0,0.085,186,14,169,0.9086021505376344,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B200/seed2029/20260524_234719_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2025,25.0,4,4,0,0.0,0.16,21,4,17,0.8095238095238095,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2025/20260524_125349_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2026,25.0,4,4,0,0.0,0.16,23,2,19,0.8260869565217391,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2026/20260524_130155_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2027,25.0,5,5,0,0.0,0.2,21,4,16,0.7619047619047619,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2027/20260524_130924_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2028,25.0,5,5,0,0.0,0.2,24,1,19,0.7916666666666666,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2028/20260524_132031_BICVRPEvaluation_BMAB-full
full,bi_cvrp,25,2029,25.0,4,4,0,0.0,0.16,23,2,19,0.8260869565217391,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_cvrp/B25/seed2029/20260524_133123_BICVRPEvaluation_BMAB-full
